date,avg_sentiment,article_count,sentiment_std,unique_sources,article_urls,headlines
2023-01-11,1.67,1,,1,['https://www.fool.com/investing/2023/01/11/2-high-yield-stocks-with-tons-of-growth-potential/?source=iedfolrf0000001'],['?source=iedfolrf0000001']
2023-01-12,1.54,1,,1,['https://www.etfdailynews.com/2023/01/12/realty-income-co-nyseo-shares-purchased-by-robeco-institutional-asset-management-b-v/'],['Realty Income Co Nyseo Shares Purchased By Robeco Institutional Asset Management B V']
2023-01-31,0.81,1,,1,['https://smarts.thestreet.com/all-smarts/technical-analysis-top-dividend-stocks-to-buy-part-2'],['Technical Analysis Top Dividend Stocks To Buy Part 2']
2023-03-24,1.79,2,0.58,2,"['https://www.wkrb13.com/2023/03/24/perkins-coie-trust-co-has-793000-holdings-in-realty-income-co-nyseo.html', 'https://www.dailypolitical.com/2023/03/24/perkins-coie-trust-co-has-793000-stake-in-realty-income-co-nyseo.html']","['Perkins Coie Trust Co Has 793000 Holdings In Realty Income Co Nyseo', 'Perkins Coie Trust Co Has 793000 Stake In Realty Income Co Nyseo']"
2023-03-26,0.35,1,,1,['http://www.msn.com/en-us/money/markets/now-s-the-time-to-count-on-these-3-solid-dividend-stocks/ar-AA195wkX'],['Ar Aa195wkx']
2023-04-06,0.75,1,,1,['https://www.fool.com/investing/2023/04/06/3-high-conviction-stocks-to-buy-now-and-collect-di/'],['3 High Conviction Stocks To Buy Now And Collect Di']
2023-04-09,0.27,1,,1,['https://finance.yahoo.com/news/owning-real-estate-passive-income-183000244.html'],['Owning Real Estate Passive Income 183000244']
2023-04-10,1.38,1,,1,['https://www.forbes.com/sites/investor-hub/article/10-highest-paying-dividend-aristocrats/'],['10 Highest Paying Dividend Aristocrats']
2023-04-12,0.85,1,,1,['https://www.forbes.com/sites/dividendchannel/2023/04/12/daily-dividend-report-procter--gamble-caterpillar-realty-income-conagra-brands-qualcomm/'],['Daily Dividend Report Procter Gamble Caterpillar Realty Income Conagra Brands Qualcomm']
2023-04-16,0.81,1,,1,['https://investorplace.com/2023/04/7-dividend-stocks-to-buy-that-are-trading-at-a-discount/'],['7 Dividend Stocks To Buy That Are Trading At A Discount']
2023-04-19,3.05,1,,1,['https://www.fool.com/investing/2023/04/19/4-dividend-stocks-yielding-45-that-are-great-buys/'],['4 Dividend Stocks Yielding 45 That Are Great Buys']
2023-05-03,-2.47,1,,1,['https://wkzo.com/2023/05/03/marketmind-bank-reverb-frames-fed-decision/'],['Marketmind Bank Reverb Frames Fed Decision']
2023-05-05,1.91,1,,1,['https://www.modernreaders.com/news/2023/05/05/mckinley-carter-wealth-services-inc-lowers-stock-holdings-in-realty-income-co-nyseo.html'],['Mckinley Carter Wealth Services Inc Lowers Stock Holdings In Realty Income Co Nyseo']
2023-05-13,2.23,1,,1,['https://www.modernreaders.com/news/2023/05/13/citizens-national-bank-trust-department-grows-position-in-realty-income-co-nyseo.html'],['Citizens National Bank Trust Department Grows Position In Realty Income Co Nyseo']
2023-05-15,1.23,1,,1,['https://investorplace.com/2023/05/investing-for-the-long-term-here-are-7-must-have-dividend-stocks/'],['Investing For The Long Term Here Are 7 Must Have Dividend Stocks']
2023-06-12,0.89,1,,1,['https://seekingalpha.com/article/4610848-2-reits-all-investors-should-own'],['4610848 2 Reits All Investors Should Own']
2023-06-19,1.79,1,,1,['https://theenterpriseleader.com/2023/06/19/realty-income-co-nyseo-shares-sold-by-mosaic-family-wealth-partners-llc.html'],['Realty Income Co Nyseo Shares Sold By Mosaic Family Wealth Partners Llc']
2023-06-21,0.89,1,,1,['https://seekingalpha.com/article/4612528-earn-plus-8-percent-from-the-highest-quality-reits-rqi'],['4612528 Earn Plus 8 Percent From The Highest Quality Reits Rqi']
2023-06-26,0.84,1,,1,['https://fortune.com/2023/06/26/pwc-4-trends-accelerate-dealmaking-second-half-2023/'],['Pwc 4 Trends Accelerate Dealmaking Second Half 2023']
2023-07-15,2.04,1,,1,['https://www.tickerreport.com/banking-finance/10852058/arizona-state-retirement-system-has-10-84-million-stock-holdings-in-realty-income-co-nyseo.html'],['Arizona State Retirement System Has 10 84 Million Stock Holdings In Realty Income Co Nyseo']
2023-07-28,2.25,1,,1,['https://www.wkrb13.com/2023/07/27/adams-wealth-management-acquires-1562-shares-of-realty-income-co-nyseo.html'],['Adams Wealth Management Acquires 1562 Shares Of Realty Income Co Nyseo']
2023-08-02,0.22,1,,1,['https://www.livemint.com/market/best-long-term-stocks-of-2023-11690910609863.html'],['Best Long Term Stocks Of 2023 11690910609863']
2023-08-13,2.89,1,,1,['https://www.wkrb13.com/2023/08/13/beta-wealth-group-inc-purchases-shares-of-12914-jpmorgan-realty-income-etf-nysearcajpre.html'],['Beta Wealth Group Inc Purchases Shares Of 12914 Jpmorgan Realty Income Etf Nysearcajpre']
2023-08-20,3.32,1,,1,['https://www.dailypolitical.com/2023/08/19/q3-2023-eps-estimates-for-realty-income-co-cut-by-analyst-nyseo.html'],['Q3 2023 Eps Estimates For Realty Income Co Cut By Analyst Nyseo']
2023-08-31,1.89,1,,1,['https://theenterpriseleader.com/2023/08/31/realty-income-nyseo-pt-lowered-to-61-50.html'],['Realty Income Nyseo Pt Lowered To 61 50']
2023-09-03,2.84,1,,1,['https://theenterpriseleader.com/2023/09/03/q1-2025-earnings-forecast-for-realty-income-co-issued-by-zacks-research-nyseo.html'],['Q1 2025 Earnings Forecast For Realty Income Co Issued By Zacks Research Nyseo']
2023-09-06,1.89,1,,1,['https://www.theglobeandmail.com/investing/markets/indices/TXCI/pressreleases/19989132/is-realty-income-corp-stock-a-buy-now-for-its-539-dividend-yield/'],['Is Realty Income Corp Stock A Buy Now For Its 539 Dividend Yield']
2023-09-10,1.43,1,,1,['https://biztoc.com/x/37340d6b7a2ce87e'],['37340d6b7a2ce87e']
2023-09-14,2.82,1,,1,['https://www.fool.com/investing/2023/09/14/this-phenomenal-56-yielding-dividend-stock-remains/'],['This Phenomenal 56 Yielding Dividend Stock Remains']
2023-10-02,-0.38,1,,1,['https://finance.yahoo.com/news/don-t-miss-boom-7-161511477.html'],['Don T Miss Boom 7 161511477']
2023-10-15,-1.53,1,,1,['https://www.fool.com/investing/2023/10/15/before-you-buy-wp-carey-heres-a-reit-stock-id-buy/'],['Before You Buy Wp Carey Heres A Reit Stock Id Buy']
2023-10-30,1.7,3,1.76,3,"['https://www.marketwatch.com/story/spirit-realty-stock-rallies-on-9b-buyout-by-realty-income-corp-e65e2e1d', 'https://www.investing.com/equities/realty-income', 'https://www.news-gazette.com/news/nation-world/western-digital-lumentum-rise-on-semiconductor-revvity-fall-monday-10-30-2023/article_1804e183-bd35-50e1-990a-587adbc8711f.html']","['Spirit Realty Stock Rallies On 9b Buyout By Realty Income Corp E65e2e1d', 'Realty Income', 'Article 1804e183 Bd35 50e1 990a 587adbc8711f']"
2023-11-01,1.88,1,,1,['https://timesofsandiego.com/business/2023/10/31/tom-york-on-business-realty-income-to-buy-spirit-realty-capital-in-9-billion-stock-deal/'],['Tom York On Business Realty Income To Buy Spirit Realty Capital In 9 Billion Stock Deal']
2023-11-03,-2.65,1,,1,['https://www.nbcnewyork.com/news/business/money-report/cramers-lightning-round-realty-income-is-a-buy-2/4826250/'],['4826250']
2023-11-04,2.38,1,,1,['https://www.wkrb13.com/2023/11/04/bfsg-llc-has-499000-stake-in-realty-income-co-nyseo.html'],['Bfsg Llc Has 499000 Stake In Realty Income Co Nyseo']
2023-11-15,1.48,2,0.37,2,"['https://finance.yahoo.com/news/12-monthly-dividend-stocks-over-165701731.html', 'https://www.insidermonkey.com/blog/12-monthly-dividend-stocks-with-over-5-yield-1223720/']","['12 Monthly Dividend Stocks Over 165701731', '12 Monthly Dividend Stocks With Over 5 Yield 1223720']"
2023-11-16,2.56,1,,1,['https://www.fool.com/investing/2023/11/16/this-magnificent-dividend-stock-could-easily-deliv/'],['This Magnificent Dividend Stock Could Easily Deliv']
2023-11-19,2.87,1,,1,['https://247wallst.com/investing/2023/11/18/6-ultra-yield-dividend-stocks-that-pay-you-monthly/'],['6 Ultra Yield Dividend Stocks That Pay You Monthly']
2023-12-05,1.11,2,1.13,2,"['https://www.streetinsider.com/SEC+Filings/Form+8-K+REALTY+INCOME+CORP+For:+Dec+05/22489913.html', 'https://www.fool.com/investing/2023/12/05/3-top-reit-stocks-to-buy-in-december/']","['22489913', '3 Top Reit Stocks To Buy In December']"
2023-12-13,7.45,1,,1,['https://www.wkrb13.com/2023/12/13/dean-capital-management-boosts-holdings-in-universal-health-realty-income-trust-nyseuht.html'],['Dean Capital Management Boosts Holdings In Universal Health Realty Income Trust Nyseuht']
2023-12-15,1.72,1,,1,['https://markets.businessinsider.com/news/stocks/generate-passive-income-with-these-7-monthly-dividend-reits-1032904391'],['Generate Passive Income With These 7 Monthly Dividend Reits 1032904391']
2023-12-20,1.65,2,0.82,2,"['https://finance.yahoo.com/news/got-5-000-heres-turn-112400207.html', 'https://seekingalpha.com/article/4658705-consider-these-3-swan-stocks-to-collect-dividends-almost-monthly']","['Got 5 000 Heres Turn 112400207', '4658705 Consider These 3 Swan Stocks To Collect Dividends Almost Monthly']"
