date,avg_sentiment,article_count,sentiment_std,unique_sources,article_urls,headlines
2023-01-01,-1.86,1,,1,['https://economictimes.indiatimes.com/markets/stocks/news/elon-musk-becomes-first-person-ever-to-lose-200-billion/articleshow/96663303.cms'],['96663303.cms']
2023-01-02,-0.13,3,1.16,3,"['https://www.nbcchicago.com/news/business/money-report/tesla-reports-1-31-million-deliveries-in-2022-growth-of-40-over-last-year/3034743/', 'https://www.bloomberg.com/news/articles/2023-01-02/tesla-notches-record-delivering-405-278-cars-in-fourth-quarter', 'http://www.msn.com/en-us/autos/news/tesla-model-3-x-fight-audi-e-tron-gt-bmw-ix-kia-ev6-gt-in-drag-races/ar-AA15TpcW']","['3034743', 'Tesla Notches Record Delivering 405 278 Cars In Fourth Quarter', 'Ar Aa15tpcw']"
2023-01-03,-1.0,8,2.01,7,"['https://www.vanguardngr.com/2023/01/tesla-posts-disappointing-deliveries-for-2022/', 'https://www.neowin.net/news/tesla-misses-its-delivery-target-for-2022-as-economy-worsens/', 'https://www.insidermonkey.com/blog/ken-fishers-top-15-growth-stock-picks-1105703/', 'https://www.insidermonkey.com/blog/5-most-widely-held-stocks-by-individuals-1102684/', 'https://www.onenewspage.com/n/World/1zpjuwzoo0/Tesla-reports-record-quarterly-deliveries-but-misses-estimates.htm', 'https://www.wionews.com/business-economy/tesla-delivers-record-number-of-cars-in-q4-but-falls-short-of-wall-street-expectations-548892', 'https://news.yahoo.com/futures-rise-first-trading-day-113302745.html', 'https://www.autoevolution.com/news/south-korea-gifts-tesla-a-22-million-new-year-s-fine-over-cold-weather-range-207625.html']","['Tesla Posts Disappointing Deliveries For 2022', 'Tesla Misses Its Delivery Target For 2022 As Economy Worsens', 'Ken Fishers Top 15 Growth Stock Picks 1105703', '5 Most Widely Held Stocks By Individuals 1102684', 'Tesla Reports Record Quarterly Deliveries But Misses Estimates', 'Tesla Delivers Record Number Of Cars In Q4 But Falls Short Of Wall Street Expectations 548892', 'Futures Rise First Trading Day 113302745', 'South Korea Gifts Tesla A 22 Million New Year S Fine Over Cold Weather Range 207625']"
2023-01-04,-0.86,6,2.39,6,"['https://www.sloughobserver.co.uk/news/national/23226878.tesla-shares-tumble-electric-vehicle-company-misses-delivery-target/', 'https://www.nigeriasun.com/news/273309978/tesla-and-apple-drop-sharply-nasdaq-composite-loses-80-points', 'https://www.canadianminingjournal.com/news/piedmont-lithium-tesla-ink-new-deal-pivoting-from-delayed-carolina-project/', 'https://www.bloomberg.com/news/articles/2023-01-03/asia-stocks-face-muted-opening-as-us-shares-fall-markets-wrap', 'https://www.theepochtimes.com/tesla-shares-tumble-after-company-misses-delivery-target_4960773.html', 'https://seekingalpha.com/article/4567822-ev-company-news-december-2022']","['23226878.tesla Shares Tumble Electric Vehicle Company Misses Delivery Target', 'Tesla And Apple Drop Sharply Nasdaq Composite Loses 80 Points', 'Piedmont Lithium Tesla Ink New Deal Pivoting From Delayed Carolina Project', 'Asia Stocks Face Muted Opening As Us Shares Fall Markets Wrap', 'Tesla Shares Tumble After Company Misses Delivery Target 4960773', '4567822 Ev Company News December 2022']"
2023-01-05,-2.64,3,2.0,3,"['https://www.wfae.org/united-states-world/united-states-world/2023-01-04/with-2023-barely-underway-tesla-has-multiple-obstacles-to-overcome', 'https://www.fool.com/investing/2023/01/05/why-tesla-dropped-again-today/', 'https://www.ajot.com/news/tesla-china-shipments-slumped-in-december-amid-production-cuts']","['With 2023 Barely Underway Tesla Has Multiple Obstacles To Overcome', 'Why Tesla Dropped Again Today', 'Tesla China Shipments Slumped In December Amid Production Cuts']"
2023-01-06,0.46,4,2.42,4,"['https://www.torquenews.com/14335/tesla-cuts-prices-china-japan-and-other-countries-10', 'https://www.ualrpublicradio.org/npr-news/2023-01-06/teslas-stock-lost-over-700-billion-in-value-elon-musks-twitter-deal-didnt-help', 'https://www.engadget.com/tesla-is-now-offering-a-round-steering-wheel-option-on-model-s-and-x-113941070.html', 'https://www.streetinsider.com/SEC+Filings/Form+N-CSR+ETF+Series+Solutions+For:+Oct+31/21044304.html']","['Tesla Cuts Prices China Japan And Other Countries 10', 'Teslas Stock Lost Over 700 Billion In Value Elon Musks Twitter Deal Didnt Help', 'Tesla Is Now Offering A Round Steering Wheel Option On Model S And X 113941070', '21044304']"
2023-01-07,-1.97,2,4.23,2,"['https://cleantechnica.com/2023/01/06/deep-dive-on-the-tesla-semis-numbers/', 'https://www.news24.com/fin24/companies/teslas-demand-troubles-spell-a-terrible-start-to-the-year-20230107']","['Deep Dive On The Tesla Semis Numbers', 'Teslas Demand Troubles Spell A Terrible Start To The Year 20230107']"
2023-01-08,-5.99,1,,1,['https://www.weareiowa.com/article/news/nation-world/elon-musk-tesla-trial-location/507-6c1c6c94-d1c0-4b10-bcc7-2783c47a949b'],['507 6c1c6c94 D1c0 4b10 Bcc7 2783c47a949b']
2023-01-09,-1.09,5,1.34,5,"['https://www.foxbusiness.com/markets/china-tesla-buyers-protest-price-cuts-video', 'https://www.tmcnet.com/usubmit/2023/01/09/9739993.htm', 'https://kelo.com/2023/01/09/futures-rise-on-china-reopening-optimism-easing-rate-hike-worries/', 'https://gazette.com/news/us-world/wall-st-opens-higher-on-china-optimism-easing-rate-hike-concerns/article_deced99a-2562-5048-8d2a-8dba9c7ba3cc.html', 'https://www.streetinsider.com/Reuters/Nasdaq+leads+gains+on+Wall+Street+as+interest+rate+worries+ease/21047604.html']","['China Tesla Buyers Protest Price Cuts Video', '9739993', 'Futures Rise On China Reopening Optimism Easing Rate Hike Worries', 'Article Deced99a 2562 5048 8d2a 8dba9c7ba3cc', '21047604']"
2023-01-10,-2.41,3,1.87,3,"['https://www.carscoops.com/2023/01/tesla-owners-in-china-blow-a-fuse-about-discounts-they-missed/', 'https://www.proactiveinvestors.com/companies/news/1002702/nasdaq-outperforms-the-s-p-and-dow-as-tech-stocks-advance-1002702.html', 'https://www.wnd.com/2023/01/nasdaq-notches-2nd-day-gains-investors-buy-beaten-tech-shares-like-tesla/']","['Tesla Owners In China Blow A Fuse About Discounts They Missed', 'Nasdaq Outperforms The S P And Dow As Tech Stocks Advance 1002702', 'Nasdaq Notches 2nd Day Gains Investors Buy Beaten Tech Shares Like Tesla']"
2023-01-11,-0.85,6,0.84,5,"['https://www.fool.com/investing/2023/01/11/warren-buffett-favorite-ev-stock-trouncing-tesla/?source=iedfolrf0000001', 'https://www.fool.com/investing/2023/01/11/3-reasons-tesla-stock-keeps-falling/', 'https://article.wn.com/view/2023/01/11/Time_for_Musk_to_go_at_Tesla/', 'https://www.freightwaves.com/news/tesla-to-invest-775m-in-texas-factory-expansion', 'https://www.forbes.com/sites/brandonkochkodin/2023/01/11/tesla-bulls-show-what-unconditional-love-really-is/', 'https://techmoran.com/2023/01/11/tesla-files-717-million-expansion-of-giga-texas-to-prep-for-cybertruck-production/']","['?source=iedfolrf0000001', '3 Reasons Tesla Stock Keeps Falling', 'Time For Musk To Go At Tesla', 'Tesla To Invest 775m In Texas Factory Expansion', 'Tesla Bulls Show What Unconditional Love Really Is', 'Tesla Files 717 Million Expansion Of Giga Texas To Prep For Cybertruck Production']"
